Nr,Vorname,Nachname,Titel,Geschlecht,Konfession,Bemerkungen
4170,"Johanna Nep.","Gastheim","1774 h.e.",0,0,"statt Franziska Gastheim.

Muss 1781 nach der Abreise der Erzherzoginnen den Hof räumen (OMeA Akten K. 1 (1781), Nr. 112).


Eine M. Josepha Gastheim, Wemlisches Stiftfräule, bekommt 120 fl aus dem Geh. KZA, nachdem sie sich verehelicht wird am21.2.1777 vermög Amtsdekret ihrer Schwester Theresia der Platz resolviert (Geh. KZA 6, fol. 19, Nr. 69)."
3748,"Dominika","Störga","1762 h.e.",1,0,"Bleibt nach 1781 in der Burg, bekommt kein Kostgeld, aber Pension  (OMeA Akten K. 1 (1781), Nr. 112)."
2964,"Johann Joseph","Foraschick","1771 h.e.",2,0,"1784 gestrichen"
2232,"Jakob","Domenici",,2,0,"Läufer aus Churtrier (P 9, 481v)."
905,"Josepha","Vogl",,1,0,"Geht mit Ende 1727 vom Hof weg an den churbayerischen Hof (P 13, 74r-77v). Heiratet ca 1731 1728 Joseph Ignaz Mandt von Deutenhoffen, der seinem Vater, dem Landrichter zu Landsberg, adjungiert ist.
Aus Schwaben. Succedit Maria Esther von Dallenberg."
1731,"Augustin","Antonelli","1734 h.e., 1734-38 s.n.",2,0,"Bruder von Philipp A. (P 14, 255v)."
2986,"Joseph","Qualeck","1745-50 pensioniert",2,0,"war Büchsenspanner von M Elisabeth und M Magdalena. 

Heiratet am 20.5.1720 Maria Theresia Schauberger. TZ waren Thomas Hierz und Johann Ulrich Stängl (Hofburgpfarre, Tauf-, Trauungsbuch 1619-1755, 427). 




Wird 1745 pensioniert wegen seiner 20 Jährigen Dienste. (P 18, 174r). 1755 gestrichen. Bekannter Büchsenmacher war Martin Qualeck in der Himmelpfortgasse (gest. 1730). (Mitis, Jagd, 60)."
474,"Heinrich Julius Fr.v.","Gilleis","1716 K",2,0,"Pannier und Freiherr auf Sonnberg und Roschallet

v"
2146,"Franz G.v.","Gondola",,2,0,
3626,"Johann Baptist","Lämmer",,2,0,"heiratet 1756 Katharina Bucherin, Kammerbedienstete bei Josepha von Guttenberg (GSchK 1756)."
932,"Ignaz","Zapitzer","1725 SJ",2,0,
931,"Stephan","Dinaritz","1719 SJ",2,0,"was dazwischen gemacht?"
964,"Johann","Glandinger",,2,0,
541,"Ferdinand Karl G.v.","Zernuschky",,2,0,
5464,"Vinzenz","Hauschka (Hauska)",,0,0,
993,"Gotthard Helfried G.v.","Welz","1719 wGR, K",2,0,"Freiherr zu Eberstein und Spiegelfeld 1724: stirbt d 2ten aug."
1123,"Anton Franz","Wasmayr","1721 s.n.",2,0,"1.7.1713- Aug. 1720
war in Spanien 6 jahre in diensten als Kanzlist. Ab 26.7.1716 als Protokollist bezeichnet, seit 1703 in Spanien. Wegen Unfähigkeit abgesetzt. Wird 1729 zum Gerhab der  Töchter des Oboisten Franz Faster, 13 und 10 Jahre alt, bestellt, da nach dem Tod des Vaters 1718 nun auch die Mutter Caecilia gestorben ist (P 12, 331v). 1741 bekommt er pension von 250 fl nebst der besoldung (P 17, 24v).
Auch Gerhab für Saris und Rudolphische Pupillen.

TZ für die Eiddeposition für die Heirat von Johann Franz Neubauer und Maria Theresia Reischlin am 23.11.1722. Anderer Zeuge ist Johann Georg Bock, Tafeldecker (Hofburgpfarre, Tauf-, Trauungsbuch, 731). 

Auch Zeuge für die Eiddisposition ür Heirat von Johann Georg Zimmermann (auch Kammertürhüter) und Barbara Mayr am 6.2.1723., Anderer TZ ist Johann Georg Bock (Hofburgpfarre, Tauf-, Trauungsbuch, 731). 

V"
2391,"Franz","Artner",,2,0,"wird am 22.12.1724 zum Kammerheizer des Erbprinzen von Lothringen befördert (P 10, 187v)."
2260,"Balthasar","Clausern",,2,0,
2960,"Matthias","Flader","1774 h.e., 1794 E.v.",2,0,"heiratet am 15.2.1753 Josepha Schumbsky. TZ waren Jakob le Noble, Schlosshauptmann v. Belvedere, Ferdinand Obermayr, Jakob Mansperger, Taxator NÖReg., Joseph Schumbsky, Venator (?) (GSchK 1753, auch Hofburgpfarre,  Trauungsbuch, 1749-72, 31).


Tochter Maria Josepha Aloysia, getauft 19.8.1758, Patin Anna Maria Venzlin, Tochter v Johann Heinrich Venzel, Garderobier (Hofburgpfarre, Taufbuch 1755-1824, 4).

Im Mai 1767 von Untertapezierer zum 2. Obertapezierer gemeinsam mit Spenkuch, sollen gemeinsam Inventur machen (P 32, 120, 128). 

Adelserhebung in mehreren Lexika, einer sagt 1793, einer sagt Diplom v 1797, Bezug auf Megerle, S. 183. wird 1797 nach 46 Dienstjahren wohl erneuert (?), passt auf einen Dienstbeginn um 1750 hin. Wird 1792 vom obertapezierer zum mobilienmagazinverwalter befördert im zuge der caballinischen reformen. (Ottillinger, Kais. Interieurs, 19). 
Inspektoramt gibt’s 1795 nicht mehr im hk. 
Stirbt 1795 (Schem 1795, Änderungen)"
945,"Heinrich Joseph v.","Meichsner","1725 h.e., 1736 v.",2,0,"Vater von Max Meichsner (P 12, 257v).zw 1720 und 1724 pensioniert bis zur Wiederaufnahme.

1741 bekommt er pension von 147 fl nebst der besoldung (P 17, 24v).
Stirbt am 30.12.1742 (P 17, 411r)."
991,"Helena Lucretia","Knörringer (Knorring)",,1,0,"starb am 5. 11. 1727 ( P 12, 3v). 
Sohn Wilhelm Joseph v. Knörring wird Universalerbe, Stiefsohn Herwart v. Knörring (OMaA Test 632, 1727/21)."
446,"Marianna G.v.","Ötting",,1,0,
1215,"Eva","Baldauf",,1,0,"starb am 8.2.1721. verw mit 2009 unklar."
3590,"Joseph","König (II)",,22,0,
610,"Jakob","Wilbold",,2,1,"seit leopoldi zeiten als kapelldiener am amalischen hof. Vetter der Ehefrau von Instrumentdiener Franz Xaver Zeiß (AA 1739, 18.3.)

TZ bei Hochzeit von Daniel Beer und Christina Streblin am 31.10.1722 (Hofburgpfare, Tauf-, Trauungsbuch 1619-1755,457)"
618,"Johann","Peickhard",,2,0,"1731: Cassier Peickhard starb im mertz"
627,"Johann Baptist","Riccioni",,2,0,"seit mind. 1709 Kammerfourier 

verh. Mit Antonia, 
Tochter Eleonora Theresia Carlina, getauft 23.2.1709. Pate Karl G.v. Serenyi, Patin Eleonora F.v. Schwarzenberg, geb. F.v. Lobkowitz, zweite Patin Theresia G.v. Serenyi, geb. Sternberg (Hofburgpfarre, Tauf-, Trauungsbuch, 1619-1755, 63).
Sohn Carl Joseph Dominicus Michael, getauft 29.9.1711. Pater Dominic Baron Valentini, Resident d. Herzoge v. Lothringen, Patin Frau v. Lucote, Kammerfrau der Kaiserin  (Hofburgpfarre, Tauf-, Trauungsbuch, 1619-1755, 65).

Seine Schwester Maria Anna v. R. starb am 2.5.1724 (Hofburgpfarre, Sterbebuch 1648-1755, 34)."
1012,"Christoph","Nobis",,2,0,"+ 2 Jungen 
1729 nix mehr
1731 ebenso"
1238,"Georg","Brenner",,2,0,"1723: + 1 Gehilfe 1239
1 Junge Joseph Reisenhobl
2 Trager
1 Geflügelmayr: Barthlmé Küffinger
2  Menscher"
668,"Johann Georg","Körner",,2,0,
1582,"Adam G.v.","Goder v. Kriesdorf",,2,0,
3565,"Gregor","Kenzmayr",,2,0,
1207,"Paul","Leyprand (Le Grand!)","1722 h.e., 1722-25 s.n.",2,0,
1434,"Joseph","Turnowsky","1730-32 Scholar",2,0,"Sohn von Franz T. (P 12, 297r)."
811,"Pellegrino","Marcheselli",,2,0,
1450,"Maria Rosa G.v.","Sastago","1728 h.e.",1,0,"1728  d 14. juny eingestanden

Juni 1739: hat elf jahre am hof gedient, nun geht sie aber in ihr vaterland zurück (ZA SR 44). Am 17.6.1739 wird ihr die den ordentlichen hofcammerfräulein zustehende auszahlung von 1900 fl bewilligt (OMeA Prot 16, fol. 117v)."
823,"Anton Joseph","Predl",,2,0,
6102,"Joseph Johann Nepomuk","Knopflitschek","im Stallgebäude vor dem Burgtor",0,0,
3291,"Regina","Schumbsky",,1,0,
295,"Christian Fr.v.","Woestenroed (Woestenrad)",,2,0,"ein Freiherr v. Westenrad war um 1764 in Brüssel, wird anlässlich der Frankfurter Krönung zur Audienz hingeschickt (Kh-M, 1764, 11)."
1393,"Ferdinand","Nickscher",,2,0,"1747 gestrichen"
2097,"Johann Leopold","Denck",,2,0,"auf Hofkosten ausgebildet. Sohn von Maria Susanna Denckin, geht 1725 nach Brüssel ( P 11, 120r) und wird 1737 in Wien aufgenommen (P 15, 380v).
Bruder von Katharina, Barbara und Joh Karl Joseph Denck."
360,"Ulrich","Högglin",,2,0,
2680,"Adolph","Pfalz",,2,0,"stammt auch aus Diensten Franz Stephans, unklar als was (AA 1744-45, exp. 20.11.1745).

Die Stelle des Reichsherold wird nach dem Tod Pruckmayrs 1741 vorläufig nicht nachbesetzt, weilen dermahlen die reichsherolden keine offentliche dienstverrichtungen abzuwarten haben, als könnte dieses noch in suspens gelassen werden (OMeA ÄZA K. 40, 5r-6v)."
848,"Joachim Honorius Hubert","Mannagetta","1723 JUD",2,0,
886,"Paul","Ebner",,2,0,"heiratet am 6.8.1721 Eva Rosina Osin (Hofburgpfarre, Tauf-, Trauungsbuch, 1619-1755, 443).

Bleibt bis mind. 1741 bei Elis. Chr. Als Kammerheizer  (OMeA ÄZA K. 40, 37r-39v)."
513,"Hans Georg","Leitkauff",,2,0,
174,"Ludwig","Schön",,2,0,"Besoldung rückwirkend ab 1.10.1711. 1741 bekommt er eine Pension von 360 fl (P 17, 50r)."
3878,"Katharina","Hayer",,0,0,"seit ca 1704. quittiert mit Ende April 1723 den Dienst und zieht sich an den niederrhein. Strom in ihr vatterland zurück (P 10, 46v). War 19 jahre, seit Portugal, Mundwäscherin."
887,"Karl","Stockl",,2,0,"1735 gestrichen"
1014,"Johann Herrmann","Gughug",,2,0,"1719: + 9 Köch 1 Zusetzer 5 Ordinari und 4 Extrajungen 1 Türhüter 1 Kucheltrager 1 Kohltrager 1 Kesselreiber
1720 ebenso. Verlassenschaftsabh seiner Frau 1719."
1252,"Philipp","Hariop",,2,0,
3097,"Johann Jakob","Biwald",,2,0,"seit mind. 1745 Rottmeister (AA 1744-45, 18.7.45)."
1279,"Eleonora G.v.","Starhemberg",,1,0,"1726 gestrichen"
1269,"Matthias","Funck",,2,0,
1267,"Johann","Bonn",,2,0,
1048,"Johann Karl v.","Cariboldi","1735 h.e.",2,0,
3838,"Christian","Kurtz",,2,0,"starb vor Dez 1742 (P 17, 269v-270r)."
849,"Franz Karl","Scharff",,2,0,"1722 gestrichen"
753,"Sebastian","Steger",,2,0,"war Kapelljunge, übernimmt Amt von Vater Ignaz Steger (P 8, 410v).
1747 gestrichen"
770,"Joseph","Pujol",,2,0,
5665,"Johann","Hubertus","ab 1801 zugleich Stabschirurg",0,0,
687,"Franz Joseph G.v.","Goder",,2,0,
685,"Ferdinand G.v.","Kornfeyl",,2,0,
781,"Franz","Lupach (Lubach)",,2,0,"Bruder von Johann Simon, der seit 1701 auf vermittlung des Ajo Fürst Liechtenstein als Hofmechanicus aufgenommen wird. Simon stammt aus Schwaben, wird 1705 bestätigt, stirbt 1706. 1713 wird Franz L. als Kompass- und Instrumentmacher aufgenommen (Habacher, math. Instrumentenmacher, 25f). Stirbt am 15.10.1726, 46 Jahre alt (Ebd, 48)"
142,"Ferdinand","Lemberger",,2,0,"Besoldung rückwirkend ab 1.10.1711. 1741 bekommt er eine Pension von 360 fl (P 17, 50r)."
348,"Sebastian Ludwig","Icht",,2,0,"aus Spanien zurückgekehrt. Verlassenschaftsabh"
614,"Franz Wilhelm","Triangi",,2,0,"1741 pensioniert mit 600 fl bis der in OÖ die ganze ratsbesoldung erlangt (prot 17, 20r)."
769,"Nikolaus","Serdagna",,2,0,"Vater von Nikolaus Salvator S. und Franz Anton S. ( P 13, 168r). 1741 pensioniert mit 180 fl (P 17, 20v)."
1055,"Franz Anton v.","Friedberg","1736 h.e.",2,0,"bekommt 1741 eine pension von 400 fl (P 17, 20)."
5013,"Vinzenz","Caballini v. Ehrenburg","Musikkonzipist",0,0,"ist Jurist, agierte 1792 bei der Krönung Leopolds in Frankfurt als Quartiermacher, soll die Verwaltung der Mobilieninspektion reformieren, deren Personal sich dementsprechend veränderte:  statt der (Ober-)tapezierer kommen ein Mobilienmagazinverwalter, ein Adjunkt, Schreiber und schließlich die Tapeziergehilfen und -gesellen (Ottillinger, Kais. Interieurs, 19). Ihm wird 1809 der Titel eines ""Hofmobiliendirektors"" zugesprochen (Ebd, 21)."
939,"Johann Sybert","Bühers",,2,0,"bleibt bis mind. 1741 Kanzlist Elis. Christines (OMeA ÄZA K. 40, 37r)."
237,"Gabriel","Longobardo","1715 Rat",2,0,"bekommt 1741 eine Pension von 1125 fl (P 17, 24v). Todesmeldung im Wr. Diarium (28.1.1747, er war 89 Jahre alt).

V"
1354,"Karl Joseph  E.v.","Dier (Dür)","1734 h.e., E.v., 1736 HRRR, bö. Ritter, schl. KR, 1737 RportSJO, 1738 ung. Ritter, 1739 HKR, 1752 HR, Oberadministrator der ung. Kammergüter",2,0,"und Landmann, wirkl königl schlesischer Cammerrath
1737: und des königl portug. S. Jakobs-Ordens Ritter. 1741 bekommt er Pension von 547 fl nebst der besoldung (P 17, 24v).

Heiratet am 22.11.1715 Elisabeth Wismüller, TZ waren Johann Liebinger und Joseph Seywald in Schönbrunn (Hofburgpfarre, Tauf-, Trauungsbuch 1619-1755, 368). 

Ist Taufpate für 
den Sohn von Johann Martin Rausch, Karl Joseph Anton Johannes Nep, getauft am 13.6.1746,  (Ebd., 161).
Auch Taufpate für den Sohn von Hofapotheker Johann Joseph Wolck,  Karl Joseph Johann Nepomuk, getauft am 15.10.1747 (Ebd.,164).






V"
252,"Franz Anton","Petschy",,2,0,"Gerhab für die schwambergerischen Kinder 1721 (P 11, 353). 

Mit Elisabeth v. P, geb. Sandtner verheiratet. Sie stirbt 1741 (OMaA Test 636, 1741/7). 7 Kinder, darunter M. Elisabeth (Kammerdienerin, heiratet 1745 Hr. v. Zahlheim). 

Bekommt 1741 eine Pension von 300 fl nebst der besoldung (P 17, 24v). 

Sucht für seinen Sohn um eine s.n. Kammerdiener-stelle bei M Magdalena an, abgelehnt (P 17, 12r). 

Er selbst stirbt Ende Dez 1741/Anfang 1742 (OMaA Test 636, 1742/3). 

Sein Sohn, Franz Anton, stirbt am 17.3. 1747 im Alter von 11 Jahren als ohm pupil im slabischen Haus in der unteren Bäckerstr. (W.D. 22.3.1747).

V"
251,"Karl Wolfgang","Waltz",,2,0,"bekommt 1741 eine Pension von 300 fl nebst der besoldung (Prot 17, 24v).

V"
1127,"Johann Kaspar","Steineck",,2,0,"Vater von Johann St. ( P 11, 639r). 1741 bekommt er Pension von 150fl (Prot 17, 24v)."
267,"Johann Detlef","Wanderpohl (van der Pahl)",,2,0,"bekommt 1741 eine Pension von 150 fl (Prot 17, 24v)."
2917,"Maria Eva","Egghard (Eckhard)","1758 h.e.",1,0,"starb am 27.3.1771 in der Burg (Hofburgpfarre, Sterbebuch, 1755-1824, 24).

Ihre Tochter M. Anna bekommt 100 fl aus dem geh. KZA ab 1.4.1771  (Geh. KZA 6, fol. 47, Nr. 291)."
2412,"Johann Baptist G.v.","Fuchs",,2,0,
2841,"Maria Barbara","Krammer","1748 h.e.",1,0,
1531,"Johann Bernhard","Perzl",,2,0,"1728: + 30 Hart und 2 Hart. Trompeter
1730 ebenso
1735: ebenso + 1 Wachtknecht
1736 ebenso
1737 ebenso
1739 ebenso"
674,"Peter","Ehemenz",,2,0,
1258,"Reginald","Rotter",,2,0,
692,"Simon","Vögerl",,2,0,"1720: + 3 Tafeljungen
1721: + 3 Tafeljungen
1730: 2 Tafeljungen
1733 ebenso

1739: + 1 Gehilfe, 2 Jungen, 2 Edelknabendiener, 1 Extradiener, 1 Hofmeisterdiener
wird scheinbar noch leiblakai. 1747 stirbt seine Frau, Theresia mit 45 Jahren (W.D.1.3.1747)"
1024,"Jakob","Maleck",,2,0,"1719 eine Abh einer Anna Maria Maleckhin v. Wertenfeld, Witwe nach Ignaz Maleck u. in zweiter Ehe mit Augustin Spanoghe (NL). Verw?

1720: + 1 Extradiener 
1Hofmeisterdiener
3 Hof- und Feldtrompeter"
1685,"Jakob","Lorenzen (Lorenz)",,2,0,
872,"Johann Gabriel","Staindl (Steindl)",,2,0,
2263,"Simon","Schmücker",,2,0,"1758 gestrichen
1741 bekommt er eine Pension von 100 fl nebst der besoldung (P 17, 39v)."
2452,"Salvator","Gualliardo",,2,0,
90,"Peter","Riegler",,2,0,"Besoldung rückwirkend ab 1.10.1711. bekommt 1741 eine Pension von 500 fl (P 17, 50r). Hört mit Ende Feb 1741 als Edelknaben Prof auf (P 17, 83-84). Bewirbt sich 1745 um Hoftanzmeisterstelle, wird abgewiesen (P 18, 6v)."
1163,"Adam","Weyrother","1736 h.e., 1737 HRRR,  E.v.",2,0,"trtt mit Jänner 1741 aus dem Hofdienst aus, bekommt eine Pension von 1000 fl. (P 17, 36r u. 83r).

V"
91,"Tobias","Gumpenhuber",,2,0,"Vater von Philipp G. Besoldung rückwirkend ab 1.10.1711. bekommt 1741 eine Pension von 250 fl (P 17, 50r)."
785,"Simon","Sack",,2,0,"1741 bekommt er eine Pension von 250 fl (P 17, 50v)."
1089,"Franz (Karl)","Tamm (Damm)",,2,0,"1741 bekommt er eine Pension von 180 fl (Prot 17, 50v)."
1090,"Joseph","Bruno",,2,0,"1722 handschriftlich eingetragen. 1741 bekommt er eine Pension von 180 fl (P 17, 50v)."
2491,"Karolina (Charlotte) F.v.","Trautson, geb. Fr.v. Hager",,1,0,"1746 gestrichen, weil sie den Fürst Trautson geheiratet hat (Pangels, Kinder MTs, 26)

lt Pangels war sie ab 1744 Maria Annas Erzieherin (S.26). Nach ihrer Heirat wohl informell als Ratgeberin MTs und Erzieherin am Hof geblieben ohne formell Posten zu bekleiden (Pangels, 38). Lt Pangels 166 war sie auch die Aja Marie Christines. Erst 1757 zur Ome Maria Annas ernannt, bis 1762 (Pangels, 41). Im HK nur bis 1760

Dritte Ehefrau von Trautson, hat er aus Convenience geheiratet, wegen Vortheilen, die ihm der Hof machte und die er damals brauchte (Amt des 2. Ome, hohe Gage, Aussicht auf RGV), in einem Alter, wo sie keine Kinder mehr tragen konnte (Kh-M, 1775, 112).

Sie ist 1755 nominelle Taufpatin für Tochter v. Cornelius Schonenbusch (Hofburgpfarre, Tauf-, Trauungsbuch 1619-1755, 182).

1701 geboren, starb sie erst 12.1.1793 (MT an Ferd, 1777, Arneth, Briefe MTs an ihre Kinder, Bd. 2, 96).


V"
1156,"Ferdinand","Müller",,2,0,"1741 bekommt er eine Pension von 200 fl (Prot 17, 36r)."
959,"Leopold","Hintereder",,2,0,"hinterlassener josephinischer, 1728 seit 14 jahren in pension stehender und seit 4 jahren unbesoldet dienender violinist (P 12, 25v) bewirbt sich um eine besoldung."
1808,"Anton","Kreibich",,2,0,"1741 bekommt er eine Pension von 200 fl (P 17, 36r)."
352,"Kaspar","Zellner",,2,0,"bekommt 1741 eine Pension von 465 fl (Prot 17, 36r).
Bekannter Wiener Büchsenmacher, ansässig bei St. Stephan, gest. 1745 (Mitis, 60)."
377,"Paul","Buchmaister",,2,0,"bekommt 1741 eine Pension von 150 fl (Prot 17, 36r)."
2280,"Johann Michael","Mayr",,2,0,"1741 bekommt er eine Pension von 200 fl (Prot 17, 36r).
Stirbt möglicherweise erst 1768 (P 32, 234, gehaltsabrechnung)"
2693,"Jakob Joseph Xaver","Pysatt",,2,0,"v"
1496,"Franz Joseph","Christiani",,2,0,"heiratet/legt Heiratseid ab am 8.5.1728 mit Maria Clara Fischerin (Hofburgpfarre, Tauf-, Trauungsbuch 1619-1755, 518)."
1291,"Susanna","Fortner",,1,0,
1232,"Sebastian","Pichler",,2,0,"1736 gestrichen"
395,"Georg","Keller (Koller)",,2,0,
666,"Anton","Steinbrucker","1722 h.e.",2,0,"stirbt d 6. aug. 1724. 

Bruder von Ignaz Steinbr. (P 10, 424v)."
167,"Johann Georg","Christian",,2,0,"Besoldung rückwirkend ab 1.10.1711. verlassenschaftsabh."
70,"Johann","Pruckmiller",,2,0,"mit  Maria Barbara verheiratet, Paten seines im Mai 1715 geborenen Sohnes Ferdinand Carl sind Ferdinand und Catharina Goor (Taufbuch St. Michael 01-07 1713.18, fol. 110).

1782 sucht seine Elisabeth Pr. Um Pension an, da sie sich bisher mit der ihrer Mutter bewilligten Pension miternährt hat, diese aber nun gestorben ist. Elisabeth Pr. Selber schon bejahrt und mit mehreren Leibsgebrechen behaftet, bekommt Almosen ( P 41, 388v)."
3384,"Joseph","Wagner (I)",,2,0,"galt als ungeeignet für den Hofkontrollor-Schreiber dienst, die Hofkontrollore wollten ihn schon mehrmals loswerden (OmeA AA 1765, K. 67, Nr. 18, AA 1766, K. 68, Nr 49). 
1769 verstorben (P 33, 108v)."
1763,"Ignaz Franz","Beer",,2,0,"war vorher Sommelierjunge (P 14, 185r). 

Heiratet am 21.4.1739 Maria Elisabeth Grabin, Kammermensch (GSchK; Hofburgpfarre, Tauf- und Trauungsbuch 1619-1755, 630)."
1730,"Felix","Salimbeni","1734 h.e., 1734-38 s.n.",2,0,"1738 gestrichen"
4732,"Johann","Sachs",,0,0,"verw mit Joseph S.?"
2251,"Matthias","Ritt",,2,0,"mit ihrer may aus Spanien gekommen. 1741 bekommt er eine Pension von 102 fl (Prot 17, 36r). Verlassenschaftsabh seiner Frau 1719."
2238,"Paul","Ivanoschitz",,2,0,"mit ihrer may aus Spanien gekommen. 1741 bekommt er eine Pension von 102 fl (Prot 17, 36r)."
2235,"Johannes","Bockatschy",,2,0,"mit ihrer may aus Spanien gekommen. 1741 bekommt er eine Pension von 102 fl (P 17, 36r)."
2486,"Joseph","Klimpert",,2,0,"1773 gestrichen"
2177,"Jakob","Peroni",,2,0,"1741 bekommt er eine Pension von 100 fl nebst der besoldung ((P 17, 39v)."
2184,"Lucretio","Bono",,2,0,"1741 bekommt er eine Pension von 100 fl nebst der besoldung (P 17, 39v). Er starb am 8.4.1742 (Prot 17, 216v)."
2233,"Joseph","David",,2,0,"1741 bekommt er eine Pension von 100 fl nebst der besoldung (Prot 17, 39v)."
2264,"Nikolaus","Kretschmayr",,2,0,"1741 bekommt er eine Pension von 100 fl nebst der besoldung (P 17, 39v)."
2284,"Ferdinand","Klaus",,2,0,"1741 bekommt er eine Pension von 100 fl nebst der besoldung (P 17, 39v)."
3494,"Joseph","Reghem (Regem)","1766-1783 als Kammerheizer in Diensten M. Christines",2,0,"1766 Wechsel in Hofstaat Marie Christines und Alberts als Kammerheizer (P 31, 109v).

Ein Ignaz Regem war bis zu seinem Tod 1781 Holzträger in Schönbrunn. Verwandt? (OMeA Akten K. 1, 1781, Nr. 75)."
1754,"Johann (Giovanni)","Moyse",,2,0,"lebt bis 1771 (Darmstädter, Orgelmacher, 3). 
Seine Adj stelle aber nach 1740 nicht mehr im hk.
Bereits 1734 gab es  Klagen über die Dienstverrichtung Moyses, weil er sich vom Dienst entfernte ohne dem Musikdirektor Bescheid zu sagen, Maßnahmen wie Arrest und Suspendierung werden im angedroht. (Darmstädter, Orgelmacher, 25)."
2494,"Maria Anna","Oberling",,1,0,"starb am 22. 12.1742 (P 17, 281r)."
2564,"Kaspar","Hauzinger","1745-51 s.n.",2,0,"Sohn von Anton H."
4386,"Karl Ludwig","Mayer",,0,0,
2688,"Hippolito","Pertolani","Officiale",2,0,"1741 bekommt er eine Pension von 500 fl (Prot 17, 49v)."
2337,"Peter","Pegnier",,2,0,"1747 gestrichen. Wurde Ende 1746 in Gnaden entlassen, unklar warum. (P 18, 427r)."
790,"Maria Regina","Sconianzi",,1,0,"1741 bekommt sie eine Pension von 1500 fl (P 17, 49v)."
2958,"Andreas Friedrich","Dietrich",,2,0,"Sohn von Johann Anton (P. 22, 177: anstatt des vaters, seel. Gewordener leibkürschner mit 200 fl)."
71,"Abraham","Perzl",,2,0,"Besoldung rückwirkend ab 1.10.1711."
1585,"Maria Anna G.v.","Palffy v. Erdöd",,1,0,
3702,"Leopold G.v.","Palffy v. Erdöd","1761 GR, K, GFM, Inh. Inf. Reg.",2,0,"1762 gestrichen

1764 GKUStO (HK 1768)

verwitwet, heiratet am 15.4.1765 das Kammerfräulein Wilhelmina Ogilvy (Kh-M, 1765, 90). 


Starb 1791 in Pressburg"
1717,"Marc Anton","Maccarinelli",,2,0,"erst seit 1733 im HK. Starb am 16.4.1744 (Prot 17, 505v)."
644,"Franz","Cronabetter",,2,0,"Verlassenschaftsabhandlg von 1722!"
2648,"Johann Georg","Rauffer",,2,0,"war vorher Schreiber bei Kabinettsekretär Wolfscron (P 20, 503v)."
2607,"Franz","Jungblut","Gesch., Geogr., Sprachen, geht 1758 ans Domkapitel",2,0,"Wechsel 1758 zum Domkapitel (OmeA AA 1758, K. 54, Nota v 14.2.)"
3882,"Kasimir E.v.","Stock",,0,0,"weiter promoviert worden."
1448,"Joseph v.","Frauendorffer","1746 HR",1,0,"v"
761,"Joseph","Hollfelder","1717-18 s.n.",2,0,"seit 1697 als kammertrabant im dienst."
65,"Johann","Pirchner (Pürkner)",,2,0,"Besoldung rückwirkend ab 1.10.1711."
2152,"Karl Emanuel","Selliers","Tanzmeister",2,0,"Musikscholar 1704-1712. Besoldung rückwirkend ab 1.10.1711. 1718 wahrscheinlich gestorben"
798,"Christoph (Christian)","Praun",,2,0,
4337,"Joseph Ferdinand","Baber","1771-75 s.n.",0,0,"1771 wohl fälschlich als Philipp Anton drin, steht aber an letzter stelle und mit sn, daher vermutlich fehler.

Ist Neffe von Philipp Anton (P 34, fol. 315v-319v)."
1864,"Katharina","Rötz","1735 h.e.",1,0,"1735: + 1 Gehilfin
1736 ebenso
1737 ebenso

+ 1 Leibwäscherin, 1 Frauenzimmerkreserin, 2 Wäscherinnen, 2 Krankenwärterinnen, 1 Krankenköchin, 1 Extraweib
1739 ebenso"
1084,"Wenzel","Neumann",,2,0,"hinterlass. Josephin."
116,"Giulio","Cavalletti",,2,0,"bittet in P 10 um jubilation um nach Italien zurückkehren zu können (P 10, 32v). 1741 bekommt er eine Pension von 400 fl (P 17, 49v)."
120,"Karl","Costa",,2,0,"Besoldung rückwirkend ab 1.10.1711. bekommt 1741 eine Pension von 720 fl (P 17, 50r)."
214,"Jakob","Fillet",,2,0,"1741 bekommt er eine Pension von 200 fl (Prot 17, 50r)."
3487,"Simon","Stangel",,2,0,"starb im März 1781 (P 41, 64v)."
813,"Ignaz","Conti",,2,0,"Sohn von Francesco Conti (P 9, 187r). 1741 bekommt er eine Pension von 360 fl (P 17, 50v)."
1747,"Johann Baptist","Gumpenhuber","Cymbalist",2,0,"verw mit anderen G? 1741 bekommt er eine Pension von 300 fl (Prot 17, 50v)."
2840,"Franz","Ziegenheim d.J.","vorher in Innsbruck",1,0,"Sohn von Franz Z. d.Ä. (OMeA Akten K. 6, Nr. 135).

Ist 1784 17 Jahre alt und dient schon seit 2 Jahren unentgeltlich als Extrajunge. Wird als Zuckerbäckereijunge in Innsbruck bei M. Elisabeth angestellt (OMeA Akten K. 6, Nr. 135)."
2519,"Maria Rosina v.","Petersill","1747 h.e.",1,0,"1747 handschriftlich eingetragen. Ist sie die Tochter von Theresia Häringer? (OMaA test 636, 1742/19). 
1756 gestrichen

vertritt MT als Taufpatin bei der Taufe von Jakob Le Nobles Tochter Maria Josepha Anna am 8.9.1749 (Hofburgpfarre, Tauf-, Trauungsbuch 1619-1755, 168).

Starb am 18.3.1756 (Hofburgpfarre, Sterbebuch 1755-1824, 1)"
